Online_id,Emotion_Label,Dream_content,REM_period_start_time,Topic_1_Prob,Topic_2_Prob,Topic_3_Prob,Topic_4_Prob,Topic_5_Prob,Topic_6_Prob,Topic_7_Prob,Topic_8_Prob,Topic_9_Prob,Topic_10_Prob
S0021,Positive,"I dreamed that there were a lot of people around, someone asked questions related to sleep. You came to the stage to answer. You calculated the square root of two and the square root of three. There were also other people doing it. Then it was done, and I was going to get some food.",04:36:26,0.005555751364267161,0.005556217723276469,0.005555560795937652,0.005556196453708207,0.005557708576385426,0.0055559247019469375,0.9499932963658271,0.005557603635189798,0.005556069753896515,0.005555670629564509
S0021,Positive,"In a dream you asked me if I had a dream. In that dream, the experiment was done, and I told you that although you did not wake me up, I had a dream, a very brief dream. In that dream (the dream of a dream), I dreamed of a door and was about to open it.",06:14:02,0.012500091439856602,0.01250189202666889,0.012505221551062234,0.012500015481401575,0.01250036818252256,0.012500130524884676,0.8874871766830174,0.012504011657547213,0.012500859326525027,0.012500233126513766
S0021,Positive,"At the beginning, there was a man telling us how to use a pistol. The pistol should be sounded twice. The first sound is when the bullet goes out, and the second is for reloading. In this way, it would be good to use. Therefore, that pistol should be used in this way. There is another mysterious thing, but I forgot, you asked him some questions. You said what to do if you were not sure that the pistol was loaded, and he said that you should press it when you use it. Then when I was listening to your discussion, I accidentally touched the rice cooker that my grandma was holding. I thought it would be very hot, but it wasn't. Then she asked me if I wanted chicken thighs, she said the chicken thighs were ready, and then I was going to eat chicken thighs.",07:12:50,0.002702857512027069,0.0027033218379137816,0.0027028132227714962,0.002702890415291489,0.002703413611416305,0.0027033679167095346,0.002703327632312312,0.0027028775335883777,0.0027029619604053566,0.9756721683575643
S0021,Calm,The subject was awake on his own and reported having dreams but did not remember the content.,08:42:58,0.020000009788741974,0.8199548478903685,0.020000061643696825,0.020000031520138833,0.020019540590020608,0.02000002037412336,0.02002349129712313,0.02000010960806063,0.020001812769905362,0.02000007451782075
S0031,Calm,I was eating a steak and just cut it up. Meanwhile you woke me up.,03:21:18,0.12741123069706256,0.020000014309002487,0.020000047872471494,0.02000001684604209,0.020000018221170913,0.02000566990242659,0.020000012880811758,0.02000073693522321,0.7125802187767589,0.020002033559030127
S0031,Calm,Let me recall. . . I was writing a song? Seems to be.,05:47:58,0.02000121644516621,0.02000191171157136,0.02000092731336347,0.020000024232277803,0.0200000128382166,0.0200073540414751,0.020001241931869633,0.6383738916275311,0.020005515104659508,0.20160790475386922
S0031,Negative,I was interviewing and picking mly interview questions.,06:45:28,0.05000003980462346,0.05000004049468227,0.05000008164769053,0.050000057763114496,0.05000003827259903,0.05000005376761481,0.5499903636386426,0.05000002688556493,0.05000035764377722,0.05000894008169065
S0031,Negative,"Someone wanted to bribe me. He asked me to enter my bank card password. . . Anyway, I was going to do something with him. But I was not sure either.",06:55:08,0.011111438341554357,0.011112088854647732,0.011112231530064826,0.011112128054621633,0.6764379626114164,0.011111478436832611,0.011113063285606774,0.011113349811354147,0.011112394172311534,0.2346638649015899
S0031,Negative,My mom and dad were arguing.,07:08:03,0.025000190246503694,0.025000003816003376,0.025000005585521907,0.025002034936877124,0.7749951965473619,0.025000328559223874,0.025001160002913553,0.02500086657699144,0.025000005422993136,0.025000208305609985
S0031,Calm,I was driving.,07:20:38,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
S0031,Calm,"I was looking at a QR code, but I don't know what I was doing. However I just acted like that, staring at that QR code, but I've forgotten what happened before that.",07:39:48,0.012500288735002084,0.012500005658561112,0.8874924145426187,0.012500408194580273,0.012500083785928307,0.012500569560384563,0.012500356430258765,0.01250552768336,0.012500338713861997,0.012500006695444203
S0031,Negative,"I was at a crime scene and someone died and then. . . No more, I was there watching, I kept watching.",07:54:08,0.01667500529806672,0.016668228243845968,0.016667813338110116,0.8499846872111692,0.016667924899592818,0.016666809683800306,0.016667022842186,0.016667502217768172,0.01666816885378023,0.016666837411680523
S0031,Positive,I was playing an arcade game.,08:06:38,0.03333333474961844,0.03333644322168323,0.03333333476280646,0.0333333362886284,0.03333333574364955,0.03333401205638292,0.0333333338690856,0.03333333737928784,0.6999961975345236,0.0333333343943339
S0022,Calm,It seems I was  the main test. The subject wanted noodles. I went to buy it for him. There was a QR code in the store downstair. I was about to take a picture of the menu and send it to the subject.,05:25:39,0.007692515314273849,0.007693085278602567,0.007693652875579656,0.007692431198169649,0.007692314669492604,0.007692695896936982,0.007693975484329271,0.007694538476319432,0.9307577772238627,0.007697013582433342
S0022,Positive,"I was going to watch a play with you. I saw an episode in Empresses in the Palace where they went to eat noodles, and someone just served them. There were sofas on the left and right sides, and a table in the middle. Then I told you, these noodles were the noodles I dreamed of in the previous dream, and then you put the noodles up and recorded it.",06:30:09,0.005556005778676258,0.005556388298090623,0.005555562394958507,0.0055559180478867275,0.005556717339048155,0.005556251481306858,0.0055571230794756055,0.0055568676107642595,0.949992233270852,0.005556932698940969
S0022,Negative,"Although the experiment was not over yet, you took my EEG-hat off. You told me that the electrodes did not work, and then asked me to wash my hair. It was only 5:30 and the experiment should go on. Then I found that you had already removed the hat, and tried it on yourself. It went all good on you. I said try the pillow, put the electrodes on the pillow to see if there is any signal.",07:06:09,0.005000313091264809,0.005000627082281508,0.005000238398616808,0.005000261620517354,0.005000353056360607,0.005000427256621884,0.9549961600182919,0.005000272629253202,0.005000184233142537,0.005001162613649437
S0022,Negative,"I was watching a children's animation, ""Big Ears Tutu"". Tutu was playing games with his parents, his father was playing basketball, his mother was playing billiards with Grandpa Niu. Tutu was also playing basketball, but Tutu can't play , he put the basketball under the table with his cart, then the cart tripped his mother, his mother was very angry, and threw the cart away. Tutu opened the door with a basketball and entered the yard. For some reason, Tutu's mother's hand became very large. She picked up the ball and found a millipede on it.",07:36:39,0.002631792339297773,0.976313686684095,0.0026316877912328377,0.0026318572786201886,0.0026320046362209026,0.0026319037018617962,0.0026318870714700402,0.0026317435148673503,0.0026318085370888996,0.0026316284452450735
S0022,Calm,"It was raining, we went to visit my grandma, I asked you when we should come back, you said we'd dicide it later after we got there. There were two people on that bus. They cursed the driver for not stopping, and then you pooh-poohed",08:09:39,0.007693349477857069,0.007693844372264127,0.007693046707748287,0.007692522552989724,0.007693626085816035,0.007695597654009966,0.46402011674613025,0.47443088608680345,0.007692502148400752,0.0076945081679803415
S0041,Positive,"Dream was messed up, was taking a test with a friend, in a group of high school class; I missed the most beautiful scenery, and my friend sent me pictures later.",05:00:06,0.007698132870570747,0.007697600190000678,0.9307553110252337,0.007692317080039644,0.007692712294367276,0.007693280359660376,0.007692658978508928,0.007693136371994811,0.007692537047304925,0.007692313782318963
S0041,Calm,"Recalling the situation of chatting before going to bed. Was very messy, I would not say it was a dream, more like ideas in my head.",05:20:36,0.014286289594151616,0.8714154309369998,0.01428573808617473,0.01428814089921141,0.014287091752878825,0.014285736502478934,0.014287985597159424,0.014287461134432662,0.014287945273771722,0.014288180222740888
S0041,Positive,"It was the same classmate and asked me if there was someone I liked. When I grew up, she introduced the boy I liked to me and we got in touch. We had a bad experience.",06:22:16,0.01000203115783068,0.010001858526465205,0.010000914590533807,0.01000160637833808,0.9099851984581502,0.010000272380300941,0.010001693595367718,0.01000504730173094,0.010001005725619697,0.010000371885662876
S0041,Negative,"My two friends, one played good cop, the other played bad cop. They were going to fighting my sister. I was angry.",07:10:36,0.00909410119713248,0.009093779615355986,0.009091314576085826,0.00909139782025977,0.009093957395296615,0.009090923272634013,0.9181681142808449,0.00909178080012661,0.009091748734366347,0.00909288230789726
S0041,Calm,"It was a situation I got robbed by a bastard, but ended up in a noodle shop.",07:30:06,0.8199741203832089,0.020003933743770293,0.020000026377070566,0.020001988615307647,0.020000742083862648,0.020006178286929705,0.02000023390570511,0.02000650431190867,0.020006258361888626,0.020000013930347796
S0041,Negative,"It was funny. What's that? Robots, kinda necessary to get relief in life.",07:47:06,0.03333347699477629,0.0333333545933418,0.03333336403171557,0.033333358248798295,0.03333335048531994,0.03333337411965095,0.6999996492228996,0.03333336590457676,0.03333335722363554,0.033333349175285326
S0041,Negative,"The electrodes fell off and the test was done. It was in a village, people were very kind. I was intended to fix the bridge, but couldn't find people to help. Then it turnde to be dark, like the ending of a movie, there was no one.",07:55:06,0.007692373447113516,0.9307595716014477,0.007692873363523723,0.007692663427639814,0.007694523786249626,0.007694364397316961,0.007694189263105847,0.00769324627765794,0.007693519367525662,0.007692675068419161
S0041,Calm,"I was watching a movie of war, which seemed to be a course assignment. My roommate already watched it, but I did not. So I went to watch it.",08:20:36,0.009091725348216891,0.009092918277164993,0.009091445691554213,0.009094906703034013,0.0090914456636734,0.009092185780812919,0.009091643208089582,0.009091976796698788,0.0090912769035098,0.9181704756272453
S0032,Positive,"It was like a scene in a game, it was a game, and I was playing it.",04:58:48,0.020011154249764795,0.020002779933301094,0.020000876275117565,0.02000188295692591,0.020000007884439713,0.020000193107497708,0.020000002158173463,0.02000145405136509,0.8199816435879117,0.020000005795502887
S0032,Calm,"I was shopping online. I thought I need to buy a sentence which might be helpful to listening. Listening means how we hear things, not listening test. This was the kind that we do on daily basis. Right.",06:15:48,0.006666889702304263,0.006666987382017178,0.006666820443659866,0.006666992135263466,0.006667211576881839,0.9399935330194567,0.00666820164623385,0.006669420106617239,0.006667140462283928,0.006666803525281713
S0032,Positive,I was playing tennis with my dad,06:23:18,0.033333339808818245,0.0333409979545918,0.0333333401002371,0.033349209850270185,0.36660852395784577,0.03333502381483895,0.03333948859936981,0.033333343358550586,0.36669339070178936,0.033333341853688074
S0032,Positive,I was listening to music and eating cookies.,06:33:48,0.025012061019425942,0.025000007060682193,0.02500003085210844,0.025000008755743045,0.025000008415097977,0.7749850076387361,0.025000009854620572,0.025000006482184263,0.02500083387057555,0.02500202605082587
